detection_datetime,transmitter_id,tagging_project_name,species_common_name,species_scientific_name,animal_sex,receiver_project_name,installation_name,station_name,receiver_name,receiver_deployment_longitude,receiver_deployment_latitude,transmitter_sensor_type,transmitter_type,transmitter_estimated_battery_life,transmitter_deployment_longitude,transmitter_deployment_latitude,transmitter_deployment_datetime
29/05/2022 0:11,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,AIMS Special Management 1,VR2C69-450050,147.06404,-19.27536,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
29/05/2022 0:08,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,AIMS Special Management 1,VR2C69-450050,147.06404,-19.27536,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
29/05/2022 0:06,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,AIMS Special Management 1,VR2C69-450050,147.06404,-19.27536,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
29/05/2022 0:05,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,AIMS Special Management 1,VR2C69-450050,147.06404,-19.27536,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
29/05/2022 0:03,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,AIMS Special Management 1,VR2C69-450050,147.06404,-19.27536,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
29/05/2022 0:01,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,AIMS Special Management 1,VR2C69-450050,147.06404,-19.27536,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
29/05/2022 0:00,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,AIMS Special Management 1,VR2C69-450050,147.06404,-19.27536,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
28/05/2022 22:05,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,AIMS Special Management 1,VR2C69-450050,147.06404,-19.27536,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
28/05/2022 22:03,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,AIMS Special Management 1,VR2C69-450050,147.06404,-19.27536,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
28/05/2022 22:02,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,AIMS Special Management 1,VR2C69-450050,147.06404,-19.27536,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
