receiver_deployment_datetime,installation_name,station_name,receiver_deployment_longitude,receiver_deployment_latitude,depth_below_surface
5/03/2021 3:45,IMOS Coastal Array Queensland,AIMS Special Management 1,147.06404,-19.27536,5.5
8/04/2021 14:00,IMOS Coastal Array Queensland,Bluff (Hinchinbrook),146.28536,-18.48919,5
7/10/2020 15:00,Qld Array - Hinchinbrook,Boat Channel - Fishers,146.174892,-18.433422,12.5
7/10/2020 14:59,Qld Array - Hinchinbrook,Boat Channel - Outside,146.138586,-18.357382,7.5
10/11/2020 14:00,IMOS Coastal Array Queensland,Brook Islands (Hinchinbrook),146.2772,-18.13655,12
7/10/2020 15:01,Qld Array - Hinchinbrook,Deluge - Outside,146.197573,-18.414198,8.5
24/05/2024 23:00,Essential Fish Habitats,Fantome Reef Flat,146.5083283,-18.6894067,9
7/10/2020 14:36,Qld Array - Hinchinbrook,Haycock 1 West,146.214602,-18.472482,9
7/10/2020 14:38,Qld Array - Hinchinbrook,Haycock 2 East,146.219117,-18.470381,7
25/05/2024 0:29,Essential Fish Habitats,Hazard Bay Marker,146.4942517,-18.6323467,5
8/11/2021 22:00,IMOS Coastal Array Queensland,Jewfish site (Hinchinbrook),146.08478,-18.28737,13
13/02/2023 5:10,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,146.33304,-18.68017,5
29/11/2020 17:40,Qld Array - Hinchinbrook,Lucinda Jetty-end,146.385601,-18.519546,13.5
14/08/2020 20:55,IMOS Coastal Array Queensland,Magnetic Island SCP,146.85945,-19.105917,
30/11/2020 12:00,Qld Array - Hinchinbrook,Molasses Jetty,146.33291,-18.522065,8.5
8/09/2022 20:15,IMOS Coastal Array Queensland,Nelly Bay Magnetic Island SCP,146.8491,-19.1707,5
26/08/2021 22:00,IMOS Coastal Array Queensland,Orpheus - Fantome Pass,146.507283,-18.65243,17
7/10/2020 14:54,Qld Array - Hinchinbrook,Paluma - Outside,146.196349,-18.380655,9
21/09/2020 2:10,IMOS Coastal Array Queensland,Pandora Reef MMP,146.434567,-18.8168,
21/09/2020 4:42,IMOS Coastal Array Queensland,Pelorus Island MMP,146.48855,-18.540583,
4/04/2021 0:15,IMOS Reefs / Offshore Array Queensland,Rib,146.8787,-18.4718,9
14/08/2020 21:56,IMOS Coastal Array Queensland,Townsville Strand SCP,146.805083,-19.2334,
