Date,degree_C
1/05/2021,26.66
2/05/2021,26.46
3/05/2021,26.38
4/05/2021,26.53
5/05/2021,26.56
6/05/2021,26.38
7/05/2021,26.25
8/05/2021,26.41
9/05/2021,26.1
10/05/2021,26
11/05/2021,26
12/05/2021,26.03
13/05/2021,25.82
14/05/2021,25.81
15/05/2021,25.79
16/05/2021,25.7
17/05/2021,25.46
18/05/2021,25.08
19/05/2021,25.08
20/05/2021,25.14
21/05/2021,25.12
22/05/2021,25.05
23/05/2021,24.46
24/05/2021,24.23
25/05/2021,24.18
26/05/2021,24.42
27/05/2021,24.33
28/05/2021,24.08
29/05/2021,23.99
30/05/2021,23.9
31/05/2021,23.98
1/06/2021,23.98
2/06/2021,24.01
3/06/2021,24.05
4/06/2021,24.07
5/06/2021,23.96
6/06/2021,23.82
7/06/2021,23.48
8/06/2021,23.37
9/06/2021,23.38
10/06/2021,23.43
11/06/2021,23.4
12/06/2021,23.24
13/06/2021,23.49
14/06/2021,23.88
15/06/2021,23.92
16/06/2021,23.81
17/06/2021,23.78
18/06/2021,24.09
19/06/2021,24.16
20/06/2021,23.92
21/06/2021,23.7
22/06/2021,23.48
23/06/2021,23.58
24/06/2021,23.75
25/06/2021,23.82
26/06/2021,23.79
27/06/2021,23.73
28/06/2021,23.67
29/06/2021,23.48
30/06/2021,23.29
1/07/2021,23.12
2/07/2021,23.07
3/07/2021,23.07
4/07/2021,23.13
5/07/2021,22.89
6/07/2021,22.63
7/07/2021,22.7
8/07/2021,22.72
9/07/2021,23.12
10/07/2021,23.05
11/07/2021,22.52
12/07/2021,22.27
13/07/2021,22.51
14/07/2021,22.72
15/07/2021,23.12
16/07/2021,23.22
17/07/2021,23.17
18/07/2021,23.03
19/07/2021,23.15
20/07/2021,23.36
21/07/2021,22.92
22/07/2021,22.84
23/07/2021,23.09
24/07/2021,23.24
25/07/2021,23.19
26/07/2021,23.06
27/07/2021,22.94
28/07/2021,23.17
29/07/2021,23.34
30/07/2021,23.27
31/07/2021,23.3
1/08/2021,23.41
2/08/2021,23.57
3/08/2021,23.6
4/08/2021,23.68
5/08/2021,23.52
6/08/2021,23.39
7/08/2021,23.12
8/08/2021,23.24
9/08/2021,23.01
10/08/2021,22.99
11/08/2021,23.07
12/08/2021,23.2
13/08/2021,23.31
14/08/2021,23.23
15/08/2021,23.38
16/08/2021,23.39
17/08/2021,23.45
18/08/2021,23.3
19/08/2021,23.13
20/08/2021,23.18
21/08/2021,23.21
22/08/2021,23.46
23/08/2021,23.5
24/08/2021,23.49
25/08/2021,23.34
26/08/2021,23.19
27/08/2021,23.25
28/08/2021,23.45
29/08/2021,23.39
30/08/2021,23.3
31/08/2021,23.46
1/09/2021,23.62
2/09/2021,23.47
3/09/2021,23.31
4/09/2021,23.18
5/09/2021,23.34
6/09/2021,23.41
8/09/2021,23.27
9/09/2021,22.82
10/09/2021,22.88
11/09/2021,23.21
12/09/2021,23.28
13/09/2021,23.6
14/09/2021,23.61
15/09/2021,23.37
16/09/2021,23.37
17/09/2021,23.38
18/09/2021,23.29
19/09/2021,23.27
20/09/2021,23.43
21/09/2021,23.28
22/09/2021,23.15
23/09/2021,23.11
24/09/2021,23.15
25/09/2021,23.53
26/09/2021,23.52
27/09/2021,23.46
28/09/2021,23.45
29/09/2021,23.57
30/09/2021,24.03
1/10/2021,24.4
2/10/2021,24.6
3/10/2021,24.79
4/10/2021,25.04
5/10/2021,25.15
6/10/2021,25.07
7/10/2021,25.12
8/10/2021,25.14
9/10/2021,25.14
10/10/2021,25.35
11/10/2021,25.41
12/10/2021,25.54
13/10/2021,25.79
14/10/2021,26
15/10/2021,26.43
16/10/2021,26.15
17/10/2021,26.3
18/10/2021,26.46
19/10/2021,26.27
20/10/2021,26.22
21/10/2021,26.37
22/10/2021,26.62
23/10/2021,26.78
24/10/2021,27.59
25/10/2021,27.15
26/10/2021,27.16
27/10/2021,27.14
28/10/2021,27.34
29/10/2021,27.84
30/10/2021,28.24
31/10/2021,27.53
1/11/2021,27.33
2/11/2021,27.07
3/11/2021,26.92
4/11/2021,26.78
5/11/2021,26.72
6/11/2021,26.75
7/11/2021,26.85
8/11/2021,26.95
9/11/2021,27.15
10/11/2021,27.32
11/11/2021,27.39
12/11/2021,27.4
13/11/2021,27.39
14/11/2021,27.34
15/11/2021,27.37
16/11/2021,27.35
17/11/2021,27.29
18/11/2021,27.24
19/11/2021,27.26
20/11/2021,27.33
21/11/2021,27.34
22/11/2021,27.35
23/11/2021,27.45
24/11/2021,27.51
25/11/2021,27.49
26/11/2021,27.7
27/11/2021,27.77
28/11/2021,27.92
29/11/2021,27.95
